spider_id,Experiment ,ZT,CT,Monitor,Lights On,source_file,year,monitor,alive,LD_period_h,LD_pvalue_FAP,LD_power,LD_n_days,LD_significant,LD_entrained,DD_period_h,DD_pvalue_FAP,DD_power,DD_n_days,DD_significant
MW_95_,True,,17.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,24.027,6.082818340517781e-195,0.0769,8.0,True,True,24.205,3.44437510784197e-102,0.0975,4.0,True
MW_96_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,22.956,9.579067444873799e-35,0.0157,8.0,True,True,23.401,8.962293154281409e-67,0.0662,4.0,True
MW_97_,True,,17.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.558,1.2516185391626398e-62,0.0266,8.0,True,True,24.229,3.1892297893405603e-68,0.0675,4.0,True
MW_98_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.002,1.2638287925065407e-18,0.0092,8.0,True,True,24.855,3.33162644820115e-12,0.0156,4.0,True
MW_99_,True,,17.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.676,1.71442912269356e-65,0.0277,8.0,True,True,25.67,2.9125939245881e-25,0.028,4.0,True
MW_MsDD10_,True,9.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,24.43,1.1938884795158602e-124,0.0741,5.38,True,True,23.334,8.33455293803995e-225,0.1282,6.0,True
MW_MsDD11_,True,9.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,24.647,2.1573040156633997e-57,0.0362,5.38,True,True,23.161,1.31196519440182e-48,0.0313,6.0,True
MW_MsDD12_,True,9.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,24.233,1.69791796923357e-83,0.0511,5.38,True,True,22.69,4.4608198444031705e-151,0.0889,6.0,True
MW_MsDD1_,True,1.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,25.02,3.23534798660497e-78,0.0481,5.38,True,True,23.638,9.66702242457879e-167,0.0974,6.0,True
MW_MsDD2_,True,1.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,25.417,7.97674258782849e-33,0.022,5.38,True,False,22.537,1.88078290684617e-142,0.0842,6.0,True
MW_MsDD3_,True,1.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,25.152,4.4741629674431e-84,0.0514,5.38,True,True,24.039,1.51165945298849e-180,0.1048,6.0,True
MW_MsDD4_,True,1.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,24.145,5.030687171391429e-140,0.0825,5.38,True,True,25.742,1.3000014687831302e-75,0.0468,6.0,True
MW_MsDD5_,True,5.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,24.313,3.91077146319631e-160,0.0934,5.38,True,True,23.664,2.33575765492483e-71,0.0444,6.0,True
MW_MsDD6_,True,5.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,24.209,3.08132326075229e-60,0.0378,5.38,True,True,23.056,3.7531116600555195e-83,0.0511,6.0,True
MW_MsDD7_,True,5.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,21.758,5.24011968337967e-37,0.0244,5.38,True,False,22.835,4.0991334135110815e-211,0.121,6.0,True
MW_MsDD8_,True,5.0,,1.0,8am-8pm,MW 0718-0729 2024 Monitor1.txt,,1.0,True,23.626,1.3883066337143499e-83,0.0511,5.38,True,True,23.825,4.3144112334565e-88,0.0539,6.0,True
MW_MsDD9_,,,,,,MW 0718-0729 2024 Monitor1.txt,,1.0,False,20.18,5.54125160161941e-06,0.0061,5.38,True,False,22.859,1.18769035750357e-49,0.0319,6.0,True
MW_11_,True,17.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,24.696,4.04644304302347e-70,0.0295,8.0,True,True,23.434,5.7413655062431495e-61,0.02,11.0,True
MW_12_,True,17.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.479,3.4076570894298093e-90,0.0373,8.0,True,True,24.361,3.86853093898994e-48,0.0161,11.0,True
MW_15_,,,,,,MW_2025-07-03_07-23_2.txt,,2.0,True,27.192,1.0,0.0011,8.0,False,False,28.782,8.26575149633639e-08,0.0038,11.0,True
MW_17_,True,13.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,24.289,6.54319121259731e-48,0.0209,8.0,True,True,23.558,3.29251588128679e-102,0.0323,11.0,True
MW_19_,True,13.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,24.573,2.60747478407829e-35,0.0159,8.0,True,True,23.242,1.38626987292977e-85,0.0274,11.0,True
MW_20_,,,,,,MW_2025-07-03_07-23_2.txt,,2.0,True,24.479,7.75391277819518e-69,0.029,8.0,True,True,19.811,6.8194991251081e-114,0.0358,11.0,True
MW_25_,,,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,25.733,4.61277325589133e-32,0.0146,8.0,True,False,23.81,5.65796377180749e-246,0.0741,11.0,True
