Period (hr),Amplitude,Significance
19.92,977.90,1276.49
19.93,968.39,1277.52
19.95,976.75,1278.56
19.97,1000.92,1279.59
19.98,1004.40,1280.62
20.00,1003.47,1281.66
20.02,1039.23,1282.69
20.03,1076.51,1283.72
20.05,1091.58,1284.76
20.07,1102.52,1285.79
20.08,1110.72,1286.83
20.10,1163.09,1287.86
20.12,1177.64,1288.89
20.13,1176.91,1289.93
20.15,1170.56,1290.96
20.17,1175.57,1291.99
20.18,1165.19,1293.03
20.20,1139.65,1294.06
20.22,1135.20,1295.09
20.23,1147.07,1296.13
20.25,1134.75,1297.16
20.27,1150.61,1298.19
20.28,1141.75,1299.23
20.30,1124.58,1300.26
20.32,1153.51,1301.29
20.33,1141.84,1302.33
20.35,1182.08,1303.36
20.37,1161.52,1304.39
20.38,1157.59,1305.43
20.40,1152.60,1306.46
20.42,1147.95,1307.49
20.43,1143.22,1308.53
20.45,1107.09,1309.56
20.47,1104.99,1310.59
20.48,1105.07,1311.62
20.50,1096.69,1312.66
20.52,1105.35,1313.69
20.53,1143.14,1314.72
20.55,1143.66,1315.76
20.57,1157.31,1316.79
20.58,1182.92,1317.82
20.60,1223.20,1318.86
20.62,1211.11,1319.89
20.63,1148.30,1320.92
20.65,1127.69,1321.96
20.67,1138.90,1322.99
20.68,1167.15,1324.02
20.70,1200.49,1325.05
20.72,1277.45,1326.09
20.73,1290.45,1327.12
20.75,1260.81,1328.15
20.77,1212.04,1329.19
20.78,1177.60,1330.22
20.80,1159.93,1331.25
20.82,1165.15,1332.29
20.83,1162.38,1333.32
20.85,1167.46,1334.35
20.87,1168.40,1335.38
20.88,1110.70,1336.42
20.90,1129.51,1337.45
20.92,1182.83,1338.48
20.93,1199.35,1339.52
20.95,1203.90,1340.55
20.97,1234.32,1341.58
20.98,1262.70,1342.61
21.00,1208.87,1343.65
21.02,1196.29,1344.68
21.03,1258.36,1345.71
21.05,1277.96,1346.74
21.07,1283.66,1347.78
21.08,1286.19,1348.81
21.10,1298.83,1349.84
21.12,1324.74,1350.88
21.13,1347.42,1351.91
21.15,1336.38,1352.94
21.17,1316.47,1353.97
21.18,1321.92,1355.01
21.20,1332.24,1356.04
21.22,1325.07,1357.07
21.23,1295.71,1358.10
21.25,1257.49,1359.14
21.27,1192.06,1360.17
21.28,1178.20,1361.20
21.30,1175.62,1362.23
21.32,1159.53,1363.27
21.33,1150.06,1364.30
21.35,1194.22,1365.33
21.37,1218.48,1366.36
21.38,1232.96,1367.40
21.40,1209.45,1368.43
21.42,1207.23,1369.46
21.43,1232.44,1370.49
21.45,1278.16,1371.53
21.47,1352.81,1372.56
21.48,1434.04,1373.59
21.50,1507.81,1374.62
21.52,1536.85,1375.66
21.53,1552.22,1376.69
21.55,1506.66,1377.72
21.57,1474.52,1378.75
21.58,1433.11,1379.79
21.60,1437.30,1380.82
21.62,1427.81,1381.85
21.63,1432.81,1382.88
21.65,1462.19,1383.91
21.67,1545.30,1384.95
21.68,1512.08,1385.98
21.70,1433.00,1387.01
21.72,1344.19,1388.04
21.73,1334.61,1389.08
21.75,1356.74,1390.11
21.77,1335.26,1391.14
21.78,1356.70,1392.17
21.80,1344.57,1393.20
21.82,1352.64,1394.24
21.83,1331.09,1395.27
21.85,1312.12,1396.30
21.87,1339.28,1397.33
21.88,1401.96,1398.36
21.90,1429.63,1399.40
21.92,1480.14,1400.43
21.93,1543.10,1401.46
21.95,1567.57,1402.49
21.97,1595.02,1403.53
21.98,1597.66,1404.56
22.00,1532.71,1405.59
22.02,1516.17,1406.62
22.03,1561.18,1407.65
22.05,1620.28,1408.69
22.07,1646.25,1409.72
22.08,1622.85,1410.75
22.10,1662.25,1411.78
22.12,1666.32,1412.81
22.13,1627.05,1413.84
22.15,1646.78,1414.88
22.17,1613.35,1415.91
22.18,1619.13,1416.94
22.20,1627.02,1417.97
22.22,1650.94,1419.00
22.23,1560.65,1420.04
22.25,1446.17,1421.07
22.27,1416.94,1422.10
22.28,1420.00,1423.13
22.30,1409.72,1424.16
22.32,1450.32,1425.20
