Period (hr),Amplitude,Significance
30.88,1770.36,1954.20
30.90,1802.47,1955.23
30.92,1800.69,1956.26
30.93,1792.64,1957.28
30.95,1741.32,1958.31
30.97,1642.13,1959.34
30.98,1608.33,1960.36
31.00,1591.93,1961.39
31.02,1581.91,1962.42
31.03,1600.06,1963.45
31.05,1600.33,1964.47
31.07,1630.44,1965.50
31.08,1657.98,1966.53
31.10,1679.78,1967.55
31.12,1672.59,1968.58
31.13,1621.25,1969.61
31.15,1592.92,1970.63
31.17,1599.06,1971.66
31.18,1600.89,1972.69
31.20,1607.75,1973.71
31.22,1637.27,1974.74
31.23,1665.74,1975.77
31.25,1742.64,1976.80
31.27,1794.11,1977.82
31.28,1816.97,1978.85
31.30,1803.49,1979.88
31.32,1792.28,1980.90
31.33,1754.62,1981.93
31.35,1739.80,1982.96
31.37,1757.58,1983.98
31.38,1758.79,1985.01
31.40,1761.73,1986.04
31.42,1773.69,1987.06
31.43,1790.22,1988.09
31.45,1808.61,1989.12
31.47,1820.17,1990.14
31.48,1807.16,1991.17
31.50,1715.23,1992.20
31.52,1677.54,1993.22
31.53,1685.24,1994.25
31.55,1704.61,1995.28
31.57,1708.19,1996.30
31.58,1698.46,1997.33
31.60,1690.79,1998.36
31.62,1675.14,1999.38
31.63,1675.87,2000.41
31.65,1672.00,2001.44
31.67,1690.00,2002.46
31.68,1739.63,2003.49
31.70,1774.65,2004.52
31.72,1762.60,2005.54
31.73,1721.73,2006.57
31.75,1667.00,2007.60
31.77,1646.88,2008.62
31.78,1638.58,2009.65
31.80,1653.12,2010.68
31.82,1657.67,2011.70
31.83,1686.50,2012.73
31.85,1725.70,2013.76
31.87,1751.30,2014.78
31.88,1753.04,2015.81
31.90,1757.65,2016.84
31.92,1759.61,2017.86
31.93,1775.68,2018.89
31.95,1772.91,2019.92
31.97,1770.25,2020.94
31.98,1722.00,2021.97
32.00,1706.39,2023.00
32.02,1712.97,2024.02
32.03,1744.42,2025.05
32.05,1772.59,2026.08
32.07,1789.49,2027.10
32.08,1761.03,2028.13
32.10,1738.52,2029.16
32.12,1692.50,2030.18
32.13,1689.00,2031.21
32.15,1690.93,2032.24
32.17,1665.57,2033.26
32.18,1662.94,2034.29
32.20,1675.85,2035.31
32.22,1741.77,2036.34
32.23,1801.64,2037.37
32.25,1807.07,2038.39
32.27,1821.29,2039.42
32.28,1824.95,2040.45
32.30,1822.49,2041.47
32.32,1787.60,2042.50
32.33,1786.12,2043.53
32.35,1777.95,2044.55
32.37,1770.54,2045.58
32.38,1770.28,2046.60
32.40,1781.07,2047.63
32.42,1774.77,2048.66
32.43,1768.91,2049.68
32.45,1773.79,2050.71
32.47,1754.05,2051.74
32.48,1772.02,2052.76
32.50,1826.07,2053.79
32.52,1846.89,2054.82
32.53,1815.81,2055.84
32.55,1788.86,2056.87
32.57,1751.78,2057.89
32.58,1722.19,2058.92
32.60,1711.55,2059.95
32.62,1735.97,2060.97
32.63,1739.15,2062.00
32.65,1729.29,2063.03
32.67,1730.79,2064.05
32.68,1728.34,2065.08
32.70,1738.51,2066.10
32.72,1724.23,2067.13
32.73,1725.39,2068.16
32.75,1731.51,2069.18
32.77,1747.11,2070.21
32.78,1761.82,2071.24
32.80,1791.57,2072.26
32.82,1821.80,2073.29
32.83,1825.14,2074.31
32.85,1853.15,2075.34
32.87,1903.03,2076.37
32.88,1915.47,2077.39
32.90,1944.58,2078.42
32.92,1915.12,2079.45
32.93,1911.93,2080.47
32.95,1889.99,2081.50
32.97,1855.80,2082.52
32.98,1797.40,2083.55
33.00,1764.73,2084.58
33.02,1724.41,2085.60
33.03,1724.87,2086.63
33.05,1740.46,2087.65
33.07,1745.37,2088.68
33.08,1747.78,2089.71
33.10,1729.34,2090.73
33.12,1730.60,2091.76
33.13,1719.89,2092.79
33.15,1742.59,2093.81
33.17,1779.01,2094.84
33.18,1758.37,2095.86
33.20,1746.62,2096.89
33.22,1774.05,2097.92
33.23,1773.85,2098.94
33.25,1774.89,2099.97
33.27,1788.42,2100.99
33.28,1831.95,2102.02
33.30,1949.53,2103.05
33.32,1968.31,2104.07
33.33,1985.73,2105.10
33.35,1960.03,2106.12
33.37,1888.85,2107.15
33.38,1864.23,2108.18
33.40,1891.40,2109.20
33.42,1898.81,2110.23
33.43,1864.50,2111.25
33.45,1831.77,2112.28
33.47,1821.44,2113.31
33.48,1823.08,2114.33
33.50,1783.95,2115.36
33.52,1757.79,2116.38
33.53,1768.86,2117.41
33.55,1771.05,2118.43
33.57,1787.55,2119.46
33.58,1809.61,2120.49
33.60,1811.59,2121.51
33.62,1866.26,2122.54
33.63,1900.64,2123.56
33.65,1910.76,2124.59
33.67,1901.56,2125.62
33.68,1884.36,2126.64
33.70,1873.87,2127.67
33.72,1831.84,2128.69
33.73,1812.26,2129.72
33.75,1829.09,2130.75
33.77,1858.93,2131.77
33.78,1870.80,2132.80
33.80,1856.89,2133.82
33.82,1827.98,2134.85
33.83,1840.78,2135.87
33.85,1809.39,2136.90
33.87,1774.13,2137.93
33.88,1767.95,2138.95
33.90,1757.10,2139.98
33.92,1841.43,2141.00
33.93,1868.02,2142.03
33.95,1888.21,2143.05
33.97,1907.03,2144.08
33.98,1930.41,2145.11
34.00,1967.83,2146.13
